design,stage,substep,arm,repeat,call,setup_s,hold_s,passes,last_improving_iter,wns_start_ps,wns_end_ps,endpoints,substep_wall_s,result_sha1,loadavg_at_start,recorded_at
mock-alu,cts,4_1_cts,tns5-prof,1,setup_hold,59.49,0.03,1042,320,-294.849,-275.789,526,71.07,61bcd0930b5ef9e53096,0.79,2026-09-11T05:22:51
mock-alu,cts,4_1_cts,tns5-prof,2,setup_hold,59.32,0.03,1042,320,-294.849,-275.789,526,70.84,61bcd0930b5ef9e53096,1.00,2026-09-11T05:24:48
mock-alu,cts,4_1_cts,tns5-prof,3,setup_hold,59.34,0.03,1042,320,-294.849,-275.789,526,70.93,61bcd0930b5ef9e53096,0.84,2026-09-11T05:27:14
mock-alu,floorplan,2_1_floorplan,base,1,floorplan_setup,28.01,,1300,1056,-1595.866,-1367.762,1121,31.06,9c04717fcac71859d38c,0.79,2026-09-10T21:19:30
mock-alu,floorplan,2_1_floorplan,base-p0067,1,floorplan_setup,18.0,,1300,1056,-1595.866,-1367.762,1121,21.08,9c04717fcac71859d38c,0.94,2026-09-11T17:00:26
mock-alu,floorplan,2_1_floorplan,base-p0067,2,floorplan_setup,18.32,,1300,1056,-1595.866,-1367.762,1121,21.42,9c04717fcac71859d38c,0.92,2026-09-11T17:01:23
mock-alu,floorplan,2_1_floorplan,base-p0067,3,floorplan_setup,18.38,,1300,1056,-1595.866,-1367.762,1121,21.5,9c04717fcac71859d38c,0.96,2026-09-11T17:01:51
mock-alu,floorplan,2_1_floorplan,base-p00670068,1,floorplan_setup,17.94,,1300,1056,-1595.866,-1367.762,1121,21.04,9c04717fcac71859d38c,0.79,2026-09-14T04:10:13
mock-alu,floorplan,2_1_floorplan,base-p00670068,2,floorplan_setup,17.71,,1300,1056,-1595.866,-1367.762,1121,20.8,9c04717fcac71859d38c,0.92,2026-09-14T04:10:40
mock-alu,floorplan,2_1_floorplan,base-p00670068,3,floorplan_setup,17.75,,1300,1056,-1595.866,-1367.762,1121,20.82,9c04717fcac71859d38c,1.00,2026-09-14T04:11:37
mock-alu,floorplan,2_1_floorplan,base-p006700680069,1,floorplan_setup,17.99,,1300,1056,-1595.866,-1367.762,1121,21.05,9c04717fcac71859d38c,1.00,2026-09-12T00:25:53
mock-alu,floorplan,2_1_floorplan,base-p006700680069,2,floorplan_setup,18.01,,1300,1056,-1595.866,-1367.762,1121,21.1,9c04717fcac71859d38c,0.90,2026-09-12T00:27:36
mock-alu,floorplan,2_1_floorplan,base-p006700680069,3,floorplan_setup,18.18,,1300,1056,-1595.866,-1367.762,1121,21.26,9c04717fcac71859d38c,0.85,2026-09-12T00:28:48
mock-alu,floorplan,2_1_floorplan,base-p0068,1,floorplan_setup,27.46,,1300,1056,-1595.866,-1367.762,1121,30.56,9c04717fcac71859d38c,0.92,2026-09-11T19:37:43
mock-alu,floorplan,2_1_floorplan,base-p0068,2,floorplan_setup,27.27,,1300,1056,-1595.866,-1367.762,1121,30.37,9c04717fcac71859d38c,0.78,2026-09-11T19:38:34
mock-alu,floorplan,2_1_floorplan,base-p0068,3,floorplan_setup,28.05,,1300,1056,-1595.866,-1367.762,1121,31.17,9c04717fcac71859d38c,0.98,2026-09-11T19:40:12
mock-alu,floorplan,2_1_floorplan,base-p0069,1,floorplan_setup,27.91,,1300,1056,-1595.866,-1367.762,1121,31.0,9c04717fcac71859d38c,0.94,2026-09-11T22:03:59
mock-alu,floorplan,2_1_floorplan,base-p0069,2,floorplan_setup,28.01,,1300,1056,-1595.866,-1367.762,1121,31.08,9c04717fcac71859d38c,0.80,2026-09-11T22:05:06
